@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,8-9,13-15,19-21,25-27,31,50-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute dghost1pacmanX numeric
@attribute dghost1pacmanY numeric
@attribute dGhost1 numeric
@attribute dghost2pacmanX numeric
@attribute dghost2pacmanY numeric
@attribute dGhost2 numeric
@attribute dghost3pacmanX numeric
@attribute dghost3pacmanY numeric
@attribute dGhost3 numeric
@attribute dghost4pacmanX numeric
@attribute dghost4pacmanY numeric
@attribute dGhost4 numeric
@attribute dg1g2X numeric
@attribute dg1g2Y numeric
@attribute dg1g2M numeric
@attribute dg1g3X numeric
@attribute dg1g3Y numeric
@attribute dg1g3M numeric
@attribute dg1g4X numeric
@attribute dg1g4Y numeric
@attribute dg1g4M numeric
@attribute dg2g3X numeric
@attribute dg2g3Y numeric
@attribute dg2g3M numeric
@attribute dg2g4X numeric
@attribute dg2g4Y numeric
@attribute dg2g4M numeric
@attribute dg3g4X numeric
@attribute dg3g4Y numeric
@attribute dg3g4M numeric
@attribute DirPACMAN {North,South,East,West}

@data
0.56,0.058824,True,True,False,False,0.190476,0.647059,0.484848,0.263158,0.733333,0.515152,0.235294,0.647059,0.5,0.125,0.647059,0.4375,0.058824,0,0.033333,0,0,0,0.041667,0,0.027778,0.071429,0,0.038462,0.090909,0,0.058824,0.05,0,0.03125,North
0.56,0.117647,False,True,True,False,0.238095,0.588235,0.484848,0.263158,0.666667,0.484848,0.294118,0.588235,0.5,0.083333,0.588235,0.4375,0,0,0,0,0,0,0.125,0,0.083333,0,0,0,0.136364,0,0.088235,0.15,0,0.09375,North
0.68,0.176471,True,True,False,False,0.380952,0.529412,0.545455,0.315789,0.6,0.484848,0.411765,0.529412,0.53125,0.208333,0.529412,0.5,0.117647,0,0.066667,0.0625,0,0.038462,0.125,0,0.083333,0.071429,0,0.038462,0.045455,0,0.029412,0.1,0,0.0625,North
0.68,0.235294,True,True,False,False,0.380952,0.470588,0.515152,0.368421,0.533333,0.484848,0.352941,0.470588,0.46875,0.208333,0.529412,0.46875,0.058824,0,0.033333,0.125,0,0.076923,0.125,0.066667,0.111111,0.071429,0,0.038462,0.090909,0.066667,0.088235,0.05,0.058824,0.0625,North
0.68,0.294118,False,True,True,True,0.380952,0.411765,0.484848,0.421053,0.466667,0.484848,0.411765,0.411765,0.46875,0.208333,0.470588,0.4375,0,0,0,0.0625,0,0.038462,0.125,0.066667,0.111111,0.071429,0,0.038462,0.136364,0.066667,0.117647,0.1,0.058824,0.09375,North
0.56,0.352941,True,True,False,False,0.190476,0.352941,0.333333,0.157895,0.4,0.30303,0.176471,0.352941,0.3125,0.083333,0.411765,0.3125,0.058824,0,0.033333,0.0625,0,0.038462,0.083333,0.066667,0.083333,0,0,0,0.045455,0.066667,0.058824,0.05,0.058824,0.0625,North
0.56,0.411765,True,True,False,False,0.142857,0.294118,0.272727,0.105263,0.333333,0.242424,0.117647,0.294118,0.25,0.083333,0.352941,0.25,0.058824,0,0.033333,0.0625,0,0.038462,0.041667,0.066667,0.055556,0,0,0,0,0.066667,0.029412,0,0.058824,0.03125,North
0.56,0.470588,False,True,True,False,0.142857,0.235294,0.242424,0.105263,0.333333,0.242424,0.058824,0.235294,0.1875,0.041667,0.294118,0.21875,0.058824,0.0625,0.066667,0.125,0,0.076923,0.083333,0.066667,0.083333,0.071429,0.066667,0.076923,0.045455,0,0.029412,0,0.058824,0.03125,North
0.72,0.529412,True,True,False,False,0.285714,0.176471,0.30303,0.263158,0.2,0.272727,0.294118,0.176471,0.28125,0.208333,0.235294,0.34375,0.058824,0,0.033333,0.0625,0,0.038462,0.041667,0.066667,0.055556,0,0,0,0,0.066667,0.029412,0,0.058824,0.03125,North
0.72,0.588235,True,True,False,True,0.333333,0.117647,0.30303,0.263158,0.2,0.272727,0.294118,0.117647,0.25,0.25,0.176471,0.28125,0.117647,0.0625,0.1,0.125,0,0.076923,0.041667,0.066667,0.055556,0,0.066667,0.038462,0.045455,0,0.029412,0.05,0.058824,0.0625,North
