@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,8-9,13-15,19-21,25-27,31,50'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute dghost1pacmanX numeric
@attribute dghost1pacmanY numeric
@attribute dGhost1 numeric
@attribute dghost2pacmanX numeric
@attribute dghost2pacmanY numeric
@attribute dGhost2 numeric
@attribute dghost3pacmanX numeric
@attribute dghost3pacmanY numeric
@attribute dGhost3 numeric
@attribute dghost4pacmanX numeric
@attribute dghost4pacmanY numeric
@attribute dGhost4 numeric
@attribute dg1g2X numeric
@attribute dg1g2Y numeric
@attribute dg1g2M numeric
@attribute dg1g3X numeric
@attribute dg1g3Y numeric
@attribute dg1g3M numeric
@attribute dg1g4X numeric
@attribute dg1g4Y numeric
@attribute dg1g4M numeric
@attribute dg2g3X numeric
@attribute dg2g3Y numeric
@attribute dg2g3M numeric
@attribute dg2g4X numeric
@attribute dg2g4Y numeric
@attribute dg2g4M numeric
@attribute dg3g4X numeric
@attribute dg3g4Y numeric
@attribute dg3g4M numeric
@attribute DirPACMAN {North,South,East,West}

@data
15,2,True,True,False,False,4,11,15,5,11,16,4,11,15,3,11,13,1,0,1,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1,North
15,3,False,True,True,False,5,10,15,5,10,15,5,10,15,2,10,13,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,North
18,4,True,True,False,False,8,9,17,6,9,15,7,9,16,5,9,15,2,0,2,1,0,1,3,0,3,1,0,1,1,0,1,2,0,2,North
18,5,True,True,False,False,8,8,16,7,8,15,6,8,14,5,9,14,1,0,1,2,0,2,3,1,4,1,0,1,2,1,3,1,1,2,North
18,6,False,True,True,True,8,7,15,8,7,15,7,7,14,5,8,13,0,0,0,1,0,1,3,1,4,1,0,1,3,1,4,2,1,3,North
15,7,True,True,False,False,4,6,10,3,6,9,3,6,9,2,7,9,1,0,1,1,0,1,2,1,3,0,0,0,1,1,2,1,1,2,North
15,8,True,True,False,False,3,5,8,2,5,7,2,5,7,2,6,7,1,0,1,1,0,1,1,1,2,0,0,0,0,1,1,0,1,1,North
15,9,False,True,True,False,3,4,7,2,5,7,1,4,5,1,5,6,1,1,2,2,0,2,2,1,3,1,1,2,1,0,1,0,1,1,North
19,10,True,True,False,False,6,3,9,5,3,8,5,3,8,5,4,10,1,0,1,1,0,1,1,1,2,0,0,0,0,1,1,0,1,1,North
19,11,True,True,False,True,7,2,9,5,3,8,5,2,7,6,3,8,2,1,3,2,0,2,1,1,2,0,1,1,1,0,1,1,1,2,North
19,12,True,True,False,False,6,1,7,6,2,8,4,1,5,5,2,6,0,1,1,2,0,2,1,1,2,2,1,3,1,0,1,1,1,2,North
19,13,True,True,True,False,5,0,5,5,1,6,5,0,5,5,0,5,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,North
19,14,True,True,False,False,4,1,5,5,1,6,6,1,7,5,1,6,1,0,1,2,0,2,1,0,1,1,0,1,0,0,0,1,0,1,North
19,15,False,True,False,True,4,2,6,5,1,6,5,2,7,5,2,6,1,1,2,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,North
7,4,True,True,True,True,0,1,1,9,9,18,2,3,-1,2,8,9,9,8,17,2,4,6,2,7,9,11,12,23,7,1,8,4,11,15,North
7,5,True,True,True,True,6,4,-1,9,8,17,2,4,-1,1,7,8,15,12,27,4,0,4,7,11,18,11,12,23,8,1,9,3,11,14,North
3,6,True,True,True,True,2,5,-1,12,7,19,2,5,-1,6,7,14,14,12,26,4,0,4,8,12,20,10,12,22,6,0,6,4,12,16,North
3,7,True,True,True,True,2,6,-1,12,7,19,2,6,-1,7,6,14,14,13,27,4,0,4,9,12,21,10,13,23,5,1,6,5,12,17,North
