@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.supervised.attribute.Discretize-Rfirst-last-precision6

@attribute posX {'\'(-inf-1.5]\'','\'(1.5-7.5]\'','\'(7.5-9.5]\'','\'(9.5-11.5]\'','\'(11.5-12.5]\'','\'(12.5-13.5]\'','\'(13.5-14.5]\'','\'(14.5-inf)\''}
@attribute posY {'\'(-inf-1.5]\'','\'(1.5-2.5]\'','\'(2.5-3.5]\'','\'(3.5-4.5]\'','\'(4.5-5.5]\'','\'(5.5-9.5]\'','\'(9.5-11.5]\'','\'(11.5-17.5]\'','\'(17.5-inf)\''}
@attribute dFood {'\'(-inf-0]\'','\'(0-2.5]\'','\'(2.5-3.5]\'','\'(3.5-7.5]\'','\'(7.5-13.5]\'','\'(13.5-14.5]\'','\'(14.5-inf)\''}
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute Ghost1posX {'\'(-inf-3.5]\'','\'(3.5-7.5]\'','\'(7.5-11.5]\'','\'(11.5-inf)\''}
@attribute Ghost1posY {'\'(-inf-1.5]\'','\'(1.5-9.5]\'','\'(9.5-13.5]\'','\'(13.5-inf)\''}
@attribute dghost1pacmanX {'\'(-inf-2.5]\'','\'(2.5-9.5]\'','\'(9.5-inf)\''}
@attribute dghost1pacmanY {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-inf)\''}
@attribute dGhost1 {'\'(-inf-0]\'','\'(0-7.5]\'','\'(7.5-10.5]\'','\'(10.5-16.5]\'','\'(16.5-inf)\''}
@attribute DirGhost1 {North,South,East,West,Stop,-1}
@attribute Ghost2posX {'\'(-inf-2.5]\'','\'(2.5-3.5]\'','\'(3.5-8.5]\'','\'(8.5-11.5]\'','\'(11.5-inf)\''}
@attribute Ghost2posY {'\'(-inf-2.5]\'','\'(2.5-4.5]\'','\'(4.5-5.5]\'','\'(5.5-14.5]\'','\'(14.5-15.5]\'','\'(15.5-inf)\''}
@attribute dghost2pacmanX {'\'(-inf-10.5]\'','\'(10.5-inf)\''}
@attribute dghost2pacmanY {'\'(-inf-1.5]\'','\'(1.5-4.5]\'','\'(4.5-11.5]\'','\'(11.5-13.5]\'','\'(13.5-14.5]\'','\'(14.5-inf)\''}
@attribute dGhost2 {'\'(-inf-4.5]\'','\'(4.5-inf)\''}
@attribute DirGhost2 {North,South,East,West,Stop,-1}
@attribute Ghost3posX {'\'(-inf-2.5]\'','\'(2.5-6.5]\'','\'(6.5-8.5]\'','\'(8.5-16.5]\'','\'(16.5-inf)\''}
@attribute Ghost3posY {'\'(-inf-3.5]\'','\'(3.5-5.5]\'','\'(5.5-10.5]\'','\'(10.5-11.5]\'','\'(11.5-12.5]\'','\'(12.5-inf)\''}
@attribute dghost3pacmanX {'\'(-inf-2.5]\'','\'(2.5-6.5]\'','\'(6.5-8.5]\'','\'(8.5-13.5]\'','\'(13.5-15.5]\'','\'(15.5-16.5]\'','\'(16.5-inf)\''}
@attribute dghost3pacmanY {'\'(-inf-0.5]\'','\'(0.5-3.5]\'','\'(3.5-4.5]\'','\'(4.5-6.5]\'','\'(6.5-11.5]\'','\'(11.5-12.5]\'','\'(12.5-inf)\''}
@attribute dGhost3 {'\'(-inf-3.5]\'','\'(3.5-7.5]\'','\'(7.5-25.5]\'','\'(25.5-inf)\''}
@attribute DirGhost3 {North,South,East,West,Stop,-1}
@attribute Ghost4posX {'\'(-inf-4.5]\'','\'(4.5-10.5]\'','\'(10.5-17.5]\'','\'(17.5-inf)\''}
@attribute Ghost4posY {'\'(-inf-1.5]\'','\'(1.5-6.5]\'','\'(6.5-12.5]\'','\'(12.5-13.5]\'','\'(13.5-inf)\''}
@attribute dghost4pacmanX {'\'(-inf-2.5]\'','\'(2.5-4.5]\'','\'(4.5-7.5]\'','\'(7.5-10.5]\'','\'(10.5-12.5]\'','\'(12.5-13.5]\'','\'(13.5-23.5]\'','\'(23.5-inf)\''}
@attribute dghost4pacmanY {'\'(-inf-0.5]\'','\'(0.5-6.5]\'','\'(6.5-11.5]\'','\'(11.5-12.5]\'','\'(12.5-inf)\''}
@attribute dGhost4 {'\'(-inf-1.5]\'','\'(1.5-23.5]\'','\'(23.5-28.5]\'','\'(28.5-29.5]\'','\'(29.5-inf)\''}
@attribute DirGhost4 {North,South,East,West,Stop,-1}
@attribute dg1g2X {'\'(-inf-1.5]\'','\'(1.5-6.5]\'','\'(6.5-inf)\''}
@attribute dg1g2Y {'\'(-inf-1.5]\'','\'(1.5-3.5]\'','\'(3.5-7.5]\'','\'(7.5-inf)\''}
@attribute dg1g2M {'\'(-inf-2.5]\'','\'(2.5-4.5]\'','\'(4.5-12.5]\'','\'(12.5-inf)\''}
@attribute dg1g3X {'\'(-inf-8.5]\'','\'(8.5-11.5]\'','\'(11.5-13.5]\'','\'(13.5-inf)\''}
@attribute dg1g3Y {'\'(-inf-0.5]\'','\'(0.5-4.5]\'','\'(4.5-5.5]\'','\'(5.5-6.5]\'','\'(6.5-inf)\''}
@attribute dg1g3M {'\'(-inf-3.5]\'','\'(3.5-4.5]\'','\'(4.5-7.5]\'','\'(7.5-15.5]\'','\'(15.5-inf)\''}
@attribute dg1g4X {'\'(-inf-6.5]\'','\'(6.5-20.5]\'','\'(20.5-23]\'','\'(23-inf)\''}
@attribute dg1g4Y {'\'(-inf-1.5]\'','\'(1.5-9.5]\'','\'(9.5-12.5]\'','\'(12.5-inf)\''}
@attribute dg1g4M {'\'(-inf-8.5]\'','\'(8.5-26.5]\'','\'(26.5-34.5]\'','\'(34.5-inf)\''}
@attribute dg2g3X {'\'(-inf-11.5]\'','\'(11.5-inf)\''}
@attribute dg2g3Y {'\'(-inf-2.5]\'','\'(2.5-7.5]\'','\'(7.5-inf)\''}
@attribute dg2g3M {'\'(-inf-1.5]\'','\'(1.5-2.5]\'','\'(2.5-6.5]\'','\'(6.5-18.5]\'','\'(18.5-inf)\''}
@attribute dg2g4X {'\'(-inf-3.5]\'','\'(3.5-4.5]\'','\'(4.5-10.5]\'','\'(10.5-15.5]\'','\'(15.5-19.5]\'','\'(19.5-inf)\''}
@attribute dg2g4Y {'\'(-inf-3.5]\'','\'(3.5-4.5]\'','\'(4.5-9.5]\'','\'(9.5-10.5]\'','\'(10.5-inf)\''}
@attribute dg2g4M {'\'(-inf-2.5]\'','\'(2.5-9.5]\'','\'(9.5-13.5]\'','\'(13.5-18.5]\'','\'(18.5-23.5]\'','\'(23.5-25.5]\'','\'(25.5-32.5]\'','\'(32.5-inf)\''}
@attribute dg3g4X {'\'(-inf-1.5]\'','\'(1.5-2.5]\'','\'(2.5-5.5]\'','\'(5.5-7.5]\'','\'(7.5-10.5]\'','\'(10.5-17.5]\'','\'(17.5-inf)\''}
@attribute dg3g4Y {'\'(-inf-0.5]\'','\'(0.5-4.5]\'','\'(4.5-8.5]\'','\'(8.5-11.5]\'','\'(11.5-inf)\''}
@attribute dg3g4M {'\'(-inf-1.5]\'','\'(1.5-2.5]\'','\'(2.5-5.5]\'','\'(5.5-11.5]\'','\'(11.5-19.5]\'','\'(19.5-inf)\''}
@attribute score0 {'\'(-inf--9.5]\'','\'(-9.5--5.5]\'','\'(-5.5-29.5]\'','\'(29.5-773.5]\'','\'(773.5-1864]\'','\'(1864-inf)\''}
@attribute DirPACMAN {North,South,East,West}

@data
'\'(14.5-inf)\'','\'(1.5-2.5]\'','\'(0-2.5]\'',True,True,False,False,'\'(7.5-11.5]\'','\'(9.5-13.5]\'','\'(2.5-9.5]\'','\'(3.5-inf)\'','\'(10.5-16.5]\'',East,'\'(8.5-11.5]\'','\'(5.5-14.5]\'','\'(-inf-10.5]\'','\'(4.5-11.5]\'','\'(4.5-inf)\'',West,'\'(8.5-16.5]\'','\'(12.5-inf)\'','\'(2.5-6.5]\'','\'(6.5-11.5]\'','\'(7.5-25.5]\'',West,'\'(10.5-17.5]\'','\'(12.5-13.5]\'','\'(2.5-4.5]\'','\'(6.5-11.5]\'','\'(1.5-23.5]\'',East,'\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-8.5]\'','\'(-inf-0.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-8.5]\'','\'(-inf-11.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-0.5]\'','\'(-inf-1.5]\'','\'(29.5-773.5]\'',North
'\'(14.5-inf)\'','\'(2.5-3.5]\'','\'(0-2.5]\'',False,True,True,False,'\'(7.5-11.5]\'','\'(9.5-13.5]\'','\'(2.5-9.5]\'','\'(3.5-inf)\'','\'(10.5-16.5]\'',West,'\'(8.5-11.5]\'','\'(5.5-14.5]\'','\'(-inf-10.5]\'','\'(4.5-11.5]\'','\'(4.5-inf)\'',West,'\'(8.5-16.5]\'','\'(12.5-inf)\'','\'(2.5-6.5]\'','\'(6.5-11.5]\'','\'(7.5-25.5]\'',West,'\'(10.5-17.5]\'','\'(12.5-13.5]\'','\'(-inf-2.5]\'','\'(6.5-11.5]\'','\'(1.5-23.5]\'',North,'\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-8.5]\'','\'(-inf-0.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-8.5]\'','\'(-inf-11.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(2.5-9.5]\'','\'(2.5-5.5]\'','\'(-inf-0.5]\'','\'(2.5-5.5]\'','\'(773.5-1864]\'',North
'\'(14.5-inf)\'','\'(3.5-4.5]\'','\'(0-2.5]\'',True,True,False,False,'\'(7.5-11.5]\'','\'(9.5-13.5]\'','\'(2.5-9.5]\'','\'(3.5-inf)\'','\'(16.5-inf)\'',West,'\'(11.5-inf)\'','\'(5.5-14.5]\'','\'(-inf-10.5]\'','\'(4.5-11.5]\'','\'(4.5-inf)\'',East,'\'(8.5-16.5]\'','\'(12.5-inf)\'','\'(6.5-8.5]\'','\'(6.5-11.5]\'','\'(7.5-25.5]\'',East,'\'(10.5-17.5]\'','\'(12.5-13.5]\'','\'(4.5-7.5]\'','\'(6.5-11.5]\'','\'(1.5-23.5]\'',North,'\'(1.5-6.5]\'','\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-8.5]\'','\'(-inf-0.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-8.5]\'','\'(-inf-11.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(-inf-2.5]\'','\'(1.5-2.5]\'','\'(-inf-0.5]\'','\'(1.5-2.5]\'','\'(773.5-1864]\'',North
'\'(14.5-inf)\'','\'(4.5-5.5]\'','\'(0-2.5]\'',True,True,False,False,'\'(7.5-11.5]\'','\'(9.5-13.5]\'','\'(2.5-9.5]\'','\'(3.5-inf)\'','\'(10.5-16.5]\'',West,'\'(8.5-11.5]\'','\'(5.5-14.5]\'','\'(-inf-10.5]\'','\'(4.5-11.5]\'','\'(4.5-inf)\'',West,'\'(8.5-16.5]\'','\'(12.5-inf)\'','\'(2.5-6.5]\'','\'(6.5-11.5]\'','\'(7.5-25.5]\'',East,'\'(10.5-17.5]\'','\'(13.5-inf)\'','\'(4.5-7.5]\'','\'(6.5-11.5]\'','\'(1.5-23.5]\'',North,'\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-8.5]\'','\'(-inf-0.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-8.5]\'','\'(-inf-11.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(2.5-9.5]\'','\'(-inf-1.5]\'','\'(0.5-4.5]\'','\'(1.5-2.5]\'','\'(773.5-1864]\'',North
'\'(14.5-inf)\'','\'(5.5-9.5]\'','\'(0-2.5]\'',False,True,True,True,'\'(7.5-11.5]\'','\'(9.5-13.5]\'','\'(2.5-9.5]\'','\'(3.5-inf)\'','\'(10.5-16.5]\'',West,'\'(8.5-11.5]\'','\'(5.5-14.5]\'','\'(-inf-10.5]\'','\'(4.5-11.5]\'','\'(4.5-inf)\'',West,'\'(8.5-16.5]\'','\'(12.5-inf)\'','\'(6.5-8.5]\'','\'(6.5-11.5]\'','\'(7.5-25.5]\'',West,'\'(10.5-17.5]\'','\'(13.5-inf)\'','\'(4.5-7.5]\'','\'(6.5-11.5]\'','\'(1.5-23.5]\'',North,'\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-8.5]\'','\'(-inf-0.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-8.5]\'','\'(-inf-11.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(2.5-9.5]\'','\'(1.5-2.5]\'','\'(0.5-4.5]\'','\'(2.5-5.5]\'','\'(773.5-1864]\'',North
'\'(14.5-inf)\'','\'(5.5-9.5]\'','\'(0-2.5]\'',True,True,False,False,'\'(7.5-11.5]\'','\'(9.5-13.5]\'','\'(2.5-9.5]\'','\'(3.5-inf)\'','\'(7.5-10.5]\'',East,'\'(11.5-inf)\'','\'(5.5-14.5]\'','\'(-inf-10.5]\'','\'(4.5-11.5]\'','\'(4.5-inf)\'',East,'\'(8.5-16.5]\'','\'(12.5-inf)\'','\'(2.5-6.5]\'','\'(4.5-6.5]\'','\'(7.5-25.5]\'',East,'\'(10.5-17.5]\'','\'(13.5-inf)\'','\'(-inf-2.5]\'','\'(6.5-11.5]\'','\'(1.5-23.5]\'',West,'\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-8.5]\'','\'(-inf-0.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-8.5]\'','\'(-inf-11.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(0.5-4.5]\'','\'(1.5-2.5]\'','\'(773.5-1864]\'',North
'\'(14.5-inf)\'','\'(5.5-9.5]\'','\'(0-2.5]\'',True,True,False,False,'\'(11.5-inf)\'','\'(9.5-13.5]\'','\'(2.5-9.5]\'','\'(3.5-inf)\'','\'(7.5-10.5]\'',East,'\'(11.5-inf)\'','\'(5.5-14.5]\'','\'(-inf-10.5]\'','\'(4.5-11.5]\'','\'(4.5-inf)\'',East,'\'(8.5-16.5]\'','\'(12.5-inf)\'','\'(-inf-2.5]\'','\'(4.5-6.5]\'','\'(3.5-7.5]\'',East,'\'(10.5-17.5]\'','\'(13.5-inf)\'','\'(-inf-2.5]\'','\'(0.5-6.5]\'','\'(1.5-23.5]\'',East,'\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-8.5]\'','\'(-inf-0.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-8.5]\'','\'(-inf-11.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(0.5-4.5]\'','\'(-inf-1.5]\'','\'(1864-inf)\'',North
'\'(14.5-inf)\'','\'(5.5-9.5]\'','\'(0-2.5]\'',False,True,True,False,'\'(11.5-inf)\'','\'(9.5-13.5]\'','\'(2.5-9.5]\'','\'(3.5-inf)\'','\'(0-7.5]\'',East,'\'(11.5-inf)\'','\'(5.5-14.5]\'','\'(-inf-10.5]\'','\'(4.5-11.5]\'','\'(4.5-inf)\'',North,'\'(8.5-16.5]\'','\'(12.5-inf)\'','\'(-inf-2.5]\'','\'(3.5-4.5]\'','\'(3.5-7.5]\'',East,'\'(10.5-17.5]\'','\'(13.5-inf)\'','\'(-inf-2.5]\'','\'(0.5-6.5]\'','\'(1.5-23.5]\'',East,'\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-8.5]\'','\'(-inf-0.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-8.5]\'','\'(-inf-11.5]\'','\'(-inf-2.5]\'','\'(1.5-2.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(0.5-4.5]\'','\'(-inf-1.5]\'','\'(1864-inf)\'',North
'\'(14.5-inf)\'','\'(9.5-11.5]\'','\'(0-2.5]\'',True,True,False,False,'\'(11.5-inf)\'','\'(9.5-13.5]\'','\'(2.5-9.5]\'','\'(0.5-3.5]\'','\'(7.5-10.5]\'',East,'\'(11.5-inf)\'','\'(5.5-14.5]\'','\'(-inf-10.5]\'','\'(1.5-4.5]\'','\'(4.5-inf)\'',South,'\'(8.5-16.5]\'','\'(12.5-inf)\'','\'(2.5-6.5]\'','\'(0.5-3.5]\'','\'(7.5-25.5]\'',South,'\'(10.5-17.5]\'','\'(13.5-inf)\'','\'(4.5-7.5]\'','\'(0.5-6.5]\'','\'(1.5-23.5]\'',West,'\'(-inf-1.5]\'','\'(-inf-1.5]\'','\'(-inf-2.5]\'','\'(-inf-8.5]\'','\'(-inf-0.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-8.5]\'','\'(-inf-11.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(0.5-4.5]\'','\'(-inf-1.5]\'','\'(1864-inf)\'',North
'\'(14.5-inf)\'','\'(9.5-11.5]\'','\'(0-2.5]\'',True,True,False,True,'\'(11.5-inf)\'','\'(9.5-13.5]\'','\'(2.5-9.5]\'','\'(0.5-3.5]\'','\'(7.5-10.5]\'',West,'\'(11.5-inf)\'','\'(5.5-14.5]\'','\'(-inf-10.5]\'','\'(1.5-4.5]\'','\'(4.5-inf)\'',North,'\'(8.5-16.5]\'','\'(12.5-inf)\'','\'(2.5-6.5]\'','\'(0.5-3.5]\'','\'(3.5-7.5]\'',South,'\'(10.5-17.5]\'','\'(13.5-inf)\'','\'(4.5-7.5]\'','\'(0.5-6.5]\'','\'(1.5-23.5]\'',East,'\'(1.5-6.5]\'','\'(-inf-1.5]\'','\'(2.5-4.5]\'','\'(-inf-8.5]\'','\'(-inf-0.5]\'','\'(-inf-3.5]\'','\'(-inf-6.5]\'','\'(-inf-1.5]\'','\'(-inf-8.5]\'','\'(-inf-11.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(-inf-3.5]\'','\'(-inf-3.5]\'','\'(-inf-2.5]\'','\'(-inf-1.5]\'','\'(0.5-4.5]\'','\'(1.5-2.5]\'','\'(1864-inf)\'',North
