@relation 'training_tututorial1-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,10-12,16-18,22-24,28-30,32-50'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute Ghost1posX numeric
@attribute Ghost1posY numeric
@attribute DirGhost1 {North,South,East,West,Stop,-1}
@attribute Ghost2posX numeric
@attribute Ghost2posY numeric
@attribute DirGhost2 {North,South,East,West,Stop,-1}
@attribute Ghost3posX numeric
@attribute Ghost3posY numeric
@attribute DirGhost3 {North,South,East,West,Stop,-1}
@attribute Ghost4posX numeric
@attribute Ghost4posY numeric
@attribute DirGhost4 {North,South,East,West,Stop,-1}
@attribute DirPACMAN {North,South,East,West,East}

@data
14,1,False,False,True,True,10,13,-1,13,13,-1,14,13,-1,17,13,-1,East
15,1,True,False,True,True,10,13,East,13,13,East,13,13,West,17,13,West,East
16,1,False,False,True,True,11,13,East,13,14,North,13,13,West,16,13,West,East
15,1,True,False,True,True,10,13,West,13,13,South,14,13,East,16,13,West,West
16,1,False,False,True,True,10,13,West,14,13,East,14,13,East,15,13,West,East
15,1,True,False,True,True,10,13,West,15,13,East,14,14,North,15,13,West,West
15,2,True,True,False,False,11,13,East,15,13,East,14,15,North,14,13,West,North
15,3,False,True,True,False,11,13,East,16,13,East,13,15,West,14,13,East,North
15,2,True,True,False,False,11,13,East,16,13,East,12,15,West,15,13,West,South
15,3,False,True,True,False,11,13,East,16,13,East,12,16,North,14,13,East,North
16,3,False,False,True,True,11,13,East,15,13,West,12,15,South,15,13,West,East
17,3,False,False,True,True,12,13,East,16,13,East,13,15,East,14,13,North,East
16,3,False,False,True,True,11,13,West,15,13,West,12,15,West,14,14,West,West
15,3,False,True,True,False,10,13,West,15,13,West,12,16,North,13,14,North,West
15,2,True,True,False,False,11,13,East,14,13,West,12,17,North,13,15,South,South
15,3,False,True,True,False,11,13,East,14,13,West,12,16,South,13,14,North,North
15,2,True,True,False,False,10,13,West,15,13,East,12,15,South,13,15,North,South
15,3,False,True,True,False,11,13,East,15,13,East,12,15,South,13,15,South,North
16,3,False,False,True,True,10,13,West,14,13,West,13,15,East,13,14,South,East
15,3,False,True,True,False,11,13,East,13,13,West,12,15,West,13,13,East,West
16,3,False,False,True,True,12,13,East,12,13,West,12,16,North,14,13,West,East
17,3,False,False,True,True,12,13,East,13,13,East,12,17,North,13,13,East,East
16,3,False,False,True,True,13,13,East,12,13,West,12,18,North,14,13,East,West
15,3,False,True,True,False,13,13,East,12,13,West,12,17,South,14,13,East,West
15,2,True,True,False,False,13,14,North,12,13,West,12,17,South,15,13,East,South
15,3,False,True,True,False,13,14,North,12,13,West,12,17,South,15,13,East,North
16,3,False,False,True,True,13,14,North,13,13,East,12,17,South,16,13,East,East
17,3,False,False,True,True,13,15,North,13,13,East,12,18,North,16,13,East,East
16,3,False,False,True,True,13,15,North,14,13,East,12,17,South,17,13,East,West
17,3,False,False,True,True,13,14,South,13,13,West,12,17,South,17,13,West,East
16,3,False,False,True,True,13,15,North,12,13,West,12,16,South,16,13,East,West
17,3,False,False,True,True,14,15,East,12,13,West,12,16,South,17,13,East,East
18,3,True,False,False,True,13,15,West,12,13,West,12,15,South,17,13,West,East
18,4,True,True,False,False,14,15,East,13,13,East,11,15,West,16,13,West,North
18,5,True,True,False,False,15,15,East,13,13,East,10,15,West,15,13,West,North
18,6,False,True,True,True,15,15,East,13,13,East,11,15,East,14,13,North,North
17,6,False,False,True,True,14,15,West,12,13,West,10,15,West,14,14,West,West
16,6,False,False,True,True,13,15,West,11,13,West,10,15,West,13,14,East,West
15,6,True,False,True,True,12,15,West,12,13,East,10,15,West,14,14,South,West
15,7,True,True,False,False,13,15,East,11,13,West,9,15,West,14,13,North,North
15,8,True,True,False,False,14,15,East,12,13,East,10,15,East,14,14,North,North
15,9,False,True,True,False,14,14,South,12,13,East,11,15,East,14,14,North,North
16,9,False,False,True,True,13,14,West,12,13,East,11,15,East,14,15,East,East
15,9,False,True,True,False,13,13,South,12,13,East,12,15,East,15,15,East,West
16,9,False,False,True,True,12,13,West,11,13,West,12,15,East,16,15,East,East
