@RELATION pacman-data

@ATTRIBUTE posX NUMERIC
@ATTRIBUTE posY NUMERIC
@ATTRIBUTE dFood NUMERIC
@ATTRIBUTE North {True, False}
@ATTRIBUTE South {True, False}
@ATTRIBUTE East {True, False}
@ATTRIBUTE West {True, False}
@ATTRIBUTE DirPACMAN {North, South, East, West, Stop}
@ATTRIBUTE Ghost1posX NUMERIC
@ATTRIBUTE Ghost1posY NUMERIC
@ATTRIBUTE dghost1pacmanX NUMERIC
@ATTRIBUTE dghost1pacmanY NUMERIC
@ATTRIBUTE dGhost1 NUMERIC
@ATTRIBUTE DirGhost1 {North, South, East, West, Stop, -1}
@ATTRIBUTE Ghost2posX NUMERIC
@ATTRIBUTE Ghost2posY NUMERIC
@ATTRIBUTE dghost2pacmanX NUMERIC
@ATTRIBUTE dghost2pacmanY NUMERIC
@ATTRIBUTE dGhost2 NUMERIC
@ATTRIBUTE DirGhost2 {North, South, East, West, Stop, -1}
@ATTRIBUTE Ghost3posX NUMERIC
@ATTRIBUTE Ghost3posY NUMERIC
@ATTRIBUTE dghost3pacmanX NUMERIC
@ATTRIBUTE dghost3pacmanY NUMERIC
@ATTRIBUTE dGhost3 NUMERIC
@ATTRIBUTE DirGhost3 {North, South, East, West, Stop, -1}
@ATTRIBUTE Ghost4posX NUMERIC
@ATTRIBUTE Ghost4posY NUMERIC
@ATTRIBUTE dghost4pacmanX NUMERIC
@ATTRIBUTE dghost4pacmanY NUMERIC
@ATTRIBUTE dGhost4 NUMERIC
@ATTRIBUTE DirGhost4 {North, South, East, West, Stop, -1}
@ATTRIBUTE dg1g2X NUMERIC
@ATTRIBUTE dg1g2Y NUMERIC
@ATTRIBUTE dg1g2M NUMERIC
@ATTRIBUTE dg1g3X NUMERIC
@ATTRIBUTE dg1g3Y NUMERIC
@ATTRIBUTE dg1g3M NUMERIC
@ATTRIBUTE dg1g4X NUMERIC
@ATTRIBUTE dg1g4Y NUMERIC
@ATTRIBUTE dg1g4M NUMERIC
@ATTRIBUTE dg2g3X NUMERIC
@ATTRIBUTE dg2g3Y NUMERIC
@ATTRIBUTE dg2g3M NUMERIC
@ATTRIBUTE dg2g4X NUMERIC
@ATTRIBUTE dg2g4Y NUMERIC
@ATTRIBUTE dg2g4M NUMERIC
@ATTRIBUTE dg3g4X NUMERIC
@ATTRIBUTE dg3g4Y NUMERIC
@ATTRIBUTE dg3g4M NUMERIC
@ATTRIBUTE score0 NUMERIC
@ATTRIBUTE score1 NUMERIC
@ATTRIBUTE score2 NUMERIC
@ATTRIBUTE score3 NUMERIC


@data
12, 10, 7, True, True, True, True, Stop, 5, 6, 7, 4, 11, -1, 5, 12, 7, 2, 9, -1, 13, 6, 1, 4, 5, -1, 13, 12, 1, 2, 3, -1, 0, 6, 6, 8, 0, 8, 8, 6, 14, 8, 6, 14, 8, 0, 8, 0, 6, 6, 0, -1, -2, -3
12, 10, 7, True, True, True, True, Stop, 5, 6, 7, 4, 11, Stop, 5, 12, 7, 2, 9, Stop, 13, 6, 1, 4, 5, Stop, 13, 12, 1, 2, 3, Stop, 0, 6, 6, 8, 0, 8, 8, 6, 14, 8, 6, 14, 8, 0, 8, 0, 6, 6, -1, -2, -3, -4
12, 10, 7, True, True, True, True, Stop, 5, 6, 7, 4, 11, Stop, 5, 12, 7, 2, 9, Stop, 13, 6, 1, 4, 5, Stop, 13, 12, 1, 2, 3, Stop, 0, 6, 6, 8, 0, 8, 8, 6, 14, 8, 6, 14, 8, 0, 8, 0, 6, 6, -2, -3, -4, -5
13, 10, 6, True, True, True, True, East, 5, 6, 8, 4, 12, Stop, 5, 12, 8, 2, 10, Stop, 13, 6, 0, 4, 4, Stop, 13, 12, 0, 2, 2, Stop, 0, 6, 6, 8, 0, 8, 8, 6, 14, 8, 6, 14, 8, 0, 8, 0, 6, 6, -3, -4, -5, -6
13, 9, 5, True, True, True, True, South, 5, 6, 8, 3, 11, Stop, 5, 12, 8, 3, 11, Stop, 13, 6, 0, 3, 3, Stop, 13, 12, 0, 3, 3, Stop, 0, 6, 6, 8, 0, 8, 8, 6, 14, 8, 6, 14, 8, 0, 8, 0, 6, 6, -4, -5, -6, 193
13, 8, 6, True, True, True, True, South, 5, 6, 8, 2, 10, Stop, 5, 12, 8, 4, 12, Stop, 13, 6, 0, 2, 2, Stop, 13, 12, 0, 4, 4, Stop, 0, 6, 6, 8, 0, 8, 8, 6, 14, 8, 6, 14, 8, 0, 8, 0, 6, 6, -5, -6, 193, 192
13, 7, 7, True, True, True, True, South, 5, 6, 8, 1, 9, Stop, 5, 12, 8, 5, 13, Stop, 13, 6, 0, 1, 1, Stop, 13, 12, 0, 5, 5, Stop, 0, 6, 6, 8, 0, 8, 8, 6, 14, 8, 6, 14, 8, 0, 8, 0, 6, 6, -6, 193, 192, 191
13, 6, 8, True, True, True, True, South, 5, 6, 8, 0, 8, Stop, 5, 12, 8, 6, 14, Stop, 5, 1, 8, 5, -1, Stop, 13, 12, 0, 6, 6, Stop, 0, 6, 6, 0, 5, 5, 8, 6, 14, 0, 11, 11, 8, 0, 8, 8, 11, 19, 193, 192, 191, 190
12, 6, 9, True, True, True, True, West, 5, 6, 7, 0, 7, Stop, 5, 12, 7, 6, 13, Stop, 5, 1, 7, 5, -1, Stop, 13, 12, 1, 6, 7, Stop, 0, 6, 6, 0, 5, 5, 8, 6, 14, 0, 11, 11, 8, 0, 8, 8, 11, 19, 192, 191, 190, 189
11, 6, 10, True, True, True, True, West, 5, 6, 6, 0, 6, Stop, 5, 12, 6, 6, 12, Stop, 5, 1, 6, 5, -1, Stop, 13, 12, 2, 6, 8, Stop, 0, 6, 6, 0, 5, 5, 8, 6, 14, 0, 11, 11, 8, 0, 8, 8, 11, 19, 191, 190, 189, 188
