@relation 'training_tututorial1-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,8-9,13-15,19-21,25-27,31-weka.filters.unsupervised.attribute.Remove-R37'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute dghost1pacmanX numeric
@attribute dghost1pacmanY numeric
@attribute dGhost1 numeric
@attribute dghost2pacmanX numeric
@attribute dghost2pacmanY numeric
@attribute dGhost2 numeric
@attribute dghost3pacmanX numeric
@attribute dghost3pacmanY numeric
@attribute dGhost3 numeric
@attribute dghost4pacmanX numeric
@attribute dghost4pacmanY numeric
@attribute dGhost4 numeric
@attribute dg1g2X numeric
@attribute dg1g2Y numeric
@attribute dg1g2M numeric
@attribute dg1g3X numeric
@attribute dg1g3Y numeric
@attribute dg1g3M numeric
@attribute dg1g4X numeric
@attribute dg1g4Y numeric
@attribute dg1g4M numeric
@attribute dg2g3X numeric
@attribute dg2g3Y numeric
@attribute dg2g3M numeric
@attribute dg2g4X numeric
@attribute dg2g4Y numeric
@attribute dg2g4M numeric
@attribute dg3g4X numeric
@attribute dg3g4Y numeric
@attribute dg3g4M numeric
@attribute DirPACMAN {North,South,East,West}

@data
14,1,False,False,True,True,4,12,16,1,12,13,0,12,12,3,12,15,3,0,3,4,0,4,7,0,7,1,0,1,4,0,4,3,0,3,East
15,1,True,False,True,True,5,12,17,2,12,14,2,12,14,2,12,13,3,0,3,3,0,3,7,0,7,0,0,0,4,0,4,4,0,4,East
16,1,False,False,True,True,5,12,17,3,13,16,3,12,15,0,12,12,2,1,3,2,0,2,5,0,5,0,1,1,3,1,4,3,0,3,East
15,1,True,False,True,True,5,12,17,2,12,14,1,12,13,1,12,12,3,0,3,4,0,4,6,0,6,1,0,1,3,0,3,2,0,2,West
16,1,False,False,True,True,6,12,18,2,12,14,2,12,14,1,12,13,4,0,4,4,0,4,5,0,5,0,0,0,1,0,1,1,0,1,East
15,1,True,False,True,True,5,12,17,0,12,12,1,13,14,0,12,13,5,0,5,4,1,5,5,0,5,1,1,2,0,0,0,1,1,2,West
15,2,True,True,False,False,4,11,15,0,11,11,1,13,14,1,11,12,4,0,4,3,2,5,3,0,3,1,2,3,1,0,1,0,2,2,North
15,3,False,True,True,False,4,10,14,1,10,11,2,12,14,1,10,10,5,0,5,2,2,4,3,0,3,3,2,5,2,0,2,1,2,3,North
15,2,True,True,False,False,4,11,15,1,11,12,3,13,16,0,11,12,5,0,5,1,2,3,4,0,4,4,2,6,1,0,1,3,2,5,South
15,3,False,True,True,False,4,10,14,1,10,11,3,13,16,1,10,10,5,0,5,1,3,4,3,0,3,4,3,7,2,0,2,2,3,5,North
16,3,False,False,True,True,5,10,15,1,10,11,4,12,16,1,10,12,4,0,4,1,2,3,4,0,4,3,2,5,0,0,0,3,2,5,East
17,3,False,False,True,True,5,10,15,1,10,11,4,12,16,3,10,14,4,0,4,1,2,3,2,0,2,3,2,5,2,0,2,1,2,3,East
16,3,False,False,True,True,5,10,15,1,10,11,4,12,16,2,11,14,4,0,4,1,2,3,3,1,4,3,2,5,1,1,2,2,1,3,West
15,3,False,True,True,False,5,10,15,0,10,10,3,13,16,2,11,14,5,0,5,2,3,5,3,1,4,3,3,6,2,1,3,1,2,3,West
15,2,True,True,False,False,4,11,15,1,11,12,3,15,18,2,13,14,3,0,3,1,4,5,2,2,4,2,4,6,1,2,3,1,2,3,South
