@relation 'training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53-weka.filters.unsupervised.attribute.Remove-R3,10-12,16-18,22-24,28-30,32-50'

@attribute posX numeric
@attribute posY numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute Ghost1posX numeric
@attribute Ghost1posY numeric
@attribute DirGhost1 {North,South,East,West,Stop,-1}
@attribute Ghost2posX numeric
@attribute Ghost2posY numeric
@attribute DirGhost2 {North,South,East,West,Stop,-1}
@attribute Ghost3posX numeric
@attribute Ghost3posY numeric
@attribute DirGhost3 {North,South,East,West,Stop,-1}
@attribute Ghost4posX numeric
@attribute Ghost4posY numeric
@attribute DirGhost4 {North,South,East,West,Stop,-1}
@attribute DirPACMAN {North,South,East,West}

@data
15,2,True,True,False,False,11,13,East,10,13,West,11,13,West,12,13,East,North
15,3,False,True,True,False,10,13,West,10,13,West,10,13,West,13,13,North,North
18,4,True,True,False,False,10,13,West,12,13,East,11,13,East,13,13,North,North
18,5,True,True,False,False,10,13,West,11,13,West,12,13,East,13,14,North,North
18,6,False,True,True,True,10,13,West,10,13,West,11,13,West,13,14,North,North
15,7,True,True,False,False,11,13,East,12,13,East,12,13,East,13,14,West,North
15,8,True,True,False,False,12,13,East,13,13,East,13,13,East,13,14,East,North
15,9,False,True,True,False,12,13,East,13,14,North,14,13,East,14,14,East,North
19,10,True,True,False,False,13,13,East,14,13,South,14,13,South,14,14,West,North
19,11,True,True,False,True,12,13,West,14,14,North,14,13,South,13,14,East,North
19,12,True,True,False,False,13,13,East,13,14,West,15,13,East,14,14,South,North
19,13,True,True,True,False,14,13,East,14,14,East,14,13,West,14,13,South,North
19,14,True,True,False,False,15,13,East,14,13,South,13,13,West,14,13,South,North
19,15,False,True,False,True,15,13,East,14,14,North,14,13,East,14,13,East,North
7,4,True,True,True,True,7,5,East,16,13,South,5,1,East,9,12,West,North
7,5,True,True,True,True,1,1,East,16,13,South,5,1,East,8,12,West,North
3,6,True,True,True,True,1,1,East,15,13,West,5,1,East,9,13,East,North
3,7,True,True,True,True,1,1,East,15,14,North,5,1,East,10,13,North,North
3,8,True,True,True,True,1,1,East,15,14,North,5,1,East,10,14,West,North
3,9,True,True,True,True,1,1,East,15,13,South,5,1,East,9,14,East,North
3,10,True,True,True,True,1,1,East,16,13,East,5,1,East,10,14,South,North
3,11,True,True,False,True,1,1,East,17,13,East,5,1,East,10,13,South,North
3,12,True,True,False,True,1,1,East,18,13,East,5,1,East,10,12,North,North
3,13,True,True,False,True,1,1,East,18,14,North,5,1,East,10,13,West,North
3,14,False,True,True,True,1,1,East,18,13,South,5,1,East,9,13,West,North
3,14,False,True,True,True,1,1,East,18,13,South,5,1,East,8,13,North,North
3,7,True,True,True,False,5,9,East,11,3,East,17,6,East,25,13,East,North
3,8,True,True,True,False,5,9,East,11,3,East,17,6,East,25,13,East,North
3,9,True,True,True,False,5,9,East,11,3,East,17,6,East,25,13,East,North
11,4,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,5,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,6,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,7,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,8,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,9,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,10,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,11,True,True,False,True,1,1,East,3,1,East,17,6,East,25,13,East,North
11,12,False,True,True,True,1,1,East,3,1,East,17,6,East,25,13,East,North
14,7,True,True,False,True,1,1,East,3,1,East,5,1,East,25,13,East,North
14,8,True,True,True,True,1,1,East,3,1,East,5,1,East,25,13,East,North
