@relation training_keyboard-weka.filters.unsupervised.attribute.Remove-R51-53

@attribute posX numeric
@attribute posY numeric
@attribute dFood numeric
@attribute North {True,False}
@attribute South {True,False}
@attribute East {True,False}
@attribute West {True,False}
@attribute Ghost1posX numeric
@attribute Ghost1posY numeric
@attribute dghost1pacmanX numeric
@attribute dghost1pacmanY numeric
@attribute dGhost1 numeric
@attribute DirGhost1 {North,South,East,West,Stop, -1}
@attribute Ghost2posX numeric
@attribute Ghost2posY numeric
@attribute dghost2pacmanX numeric
@attribute dghost2pacmanY numeric
@attribute dGhost2 numeric
@attribute DirGhost2 {North,South,East,West,Stop, -1}
@attribute Ghost3posX numeric
@attribute Ghost3posY numeric
@attribute dghost3pacmanX numeric
@attribute dghost3pacmanY numeric
@attribute dGhost3 numeric
@attribute DirGhost3 {North,South,East,West,Stop, -1}
@attribute Ghost4posX numeric
@attribute Ghost4posY numeric
@attribute dghost4pacmanX numeric
@attribute dghost4pacmanY numeric
@attribute dGhost4 numeric
@attribute DirGhost4 {North,South,East,West,Stop, -1}
@attribute dg1g2X numeric
@attribute dg1g2Y numeric
@attribute dg1g2M numeric
@attribute dg1g3X numeric
@attribute dg1g3Y numeric
@attribute dg1g3M numeric
@attribute dg1g4X numeric
@attribute dg1g4Y numeric
@attribute dg1g4M numeric
@attribute dg2g3X numeric
@attribute dg2g3Y numeric
@attribute dg2g3M numeric
@attribute dg2g4X numeric
@attribute dg2g4Y numeric
@attribute dg2g4M numeric
@attribute dg3g4X numeric
@attribute dg3g4Y numeric
@attribute dg3g4M numeric
@attribute score0 numeric
@attribute DirPACMAN {North,South,East,West}

@data
15,2,1,True,True,False,False,11,13,4,11,15,East,10,13,5,11,16,West,11,13,4,11,15,West,12,13,3,11,13,East,1,0,1,0,0,0,1,0,1,1,0,1,2,0,2,1,0,1,684,North
15,3,1,False,True,True,False,10,13,5,10,15,West,10,13,5,10,15,West,10,13,5,10,15,West,13,13,2,10,13,North,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,783,North
18,4,1,True,True,False,False,10,13,8,9,17,West,12,13,6,9,15,East,11,13,7,9,16,East,13,13,5,9,15,North,2,0,2,1,0,1,3,0,3,1,0,1,1,0,1,2,0,2,1179,North
18,5,1,True,True,False,False,10,13,8,8,16,West,11,13,7,8,15,West,12,13,6,8,14,East,13,14,5,9,14,North,1,0,1,2,0,2,3,1,4,1,0,1,2,1,3,1,1,2,1278,North
18,6,1,False,True,True,True,10,13,8,7,15,West,10,13,8,7,15,West,11,13,7,7,14,West,13,14,5,8,13,North,0,0,0,1,0,1,3,1,4,1,0,1,3,1,4,2,1,3,1377,North
15,7,1,True,True,False,False,11,13,4,6,10,East,12,13,3,6,9,East,12,13,3,6,9,East,13,14,2,7,9,West,1,0,1,1,0,1,2,1,3,0,0,0,1,1,2,1,1,2,1773,North
15,8,1,True,True,False,False,12,13,3,5,8,East,13,13,2,5,7,East,13,13,2,5,7,East,13,14,2,6,7,East,1,0,1,1,0,1,1,1,2,0,0,0,0,1,1,0,1,1,1872,North
15,9,1,False,True,True,False,12,13,3,4,7,East,13,14,2,5,7,North,14,13,1,4,5,East,14,14,1,5,6,East,1,1,2,2,0,2,2,1,3,1,1,2,1,0,1,0,1,1,1971,North
19,10,2,True,True,False,False,13,13,6,3,9,East,14,13,5,3,8,South,14,13,5,3,8,South,14,14,5,4,10,West,1,0,1,1,0,1,1,1,2,0,0,0,0,1,1,0,1,1,2366,North
19,11,2,True,True,False,True,12,13,7,2,9,West,14,14,5,3,8,North,14,13,5,2,7,South,13,14,6,3,8,East,2,1,3,2,0,2,1,1,2,0,1,1,1,0,1,1,1,2,2365,North
19,12,2,True,True,False,False,13,13,6,1,7,East,13,14,6,2,8,West,15,13,4,1,5,East,14,14,5,2,6,South,0,1,1,2,0,2,1,1,2,2,1,3,1,0,1,1,1,2,2364,North
19,13,2,True,True,True,False,14,13,5,0,5,East,14,14,5,1,6,East,14,13,5,0,5,West,14,13,5,0,5,South,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,2363,North
19,14,2,True,True,False,False,15,13,4,1,5,East,14,13,5,1,6,South,13,13,6,1,7,West,14,13,5,1,6,South,1,0,1,2,0,2,1,0,1,1,0,1,0,0,0,1,0,1,2362,North
19,15,2,False,True,False,True,15,13,4,2,6,East,14,14,5,1,6,North,14,13,5,2,7,East,14,13,5,2,6,East,1,1,2,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,2361,North
7,4,-1,True,True,True,True,7,5,0,1,1,East,16,13,9,9,18,South,5,1,2,3,-1,West,9,12,2,8,9,West,9,8,17,2,4,6,2,7,9,11,12,23,7,1,8,4,11,15,166,North
7,5,-1,True,True,True,True,1,1,6,4,-1,West,16,13,9,8,17,South,5,1,2,4,-1,West,8,12,1,7,8,West,15,12,27,4,0,4,7,11,18,11,12,23,8,1,9,3,11,14,365,North
3,6,-1,True,True,True,True,1,1,2,5,-1,West,15,13,12,7,19,West,5,1,2,5,-1,West,9,13,6,7,14,East,14,12,26,4,0,4,8,12,20,10,12,22,6,0,6,4,12,16,360,North
3,7,-1,True,True,True,True,1,1,2,6,-1,West,15,14,12,7,19,North,5,1,2,6,-1,West,10,13,7,6,14,North,14,13,27,4,0,4,9,12,21,10,13,23,5,1,6,5,12,17,359,North
3,8,-1,True,True,True,True,1,1,2,7,-1,West,15,14,12,6,18,North,5,1,2,7,-1,West,10,14,7,6,12,West,14,13,27,4,0,4,9,13,22,10,13,23,5,0,5,5,13,18,358,North
3,9,-1,True,True,True,True,1,1,2,8,-1,West,15,13,12,4,16,South,5,1,2,8,-1,West,9,14,6,5,12,East,14,12,26,4,0,4,8,13,21,10,12,22,6,1,7,4,13,17,357,North
3,10,-1,True,True,True,True,1,1,2,9,-1,West,16,13,13,3,16,East,5,1,2,9,-1,West,10,14,7,4,10,South,15,12,27,4,0,4,9,13,22,11,12,23,6,1,7,5,13,18,356,North
3,11,-1,True,True,False,True,1,1,2,10,-1,West,17,13,14,2,16,East,5,1,2,10,-1,West,10,13,7,2,8,South,16,12,28,4,0,4,9,12,21,12,12,24,7,0,7,5,12,17,355,North
3,12,-1,True,True,False,True,1,1,2,11,-1,West,18,13,15,1,16,East,5,1,2,11,-1,West,10,12,7,0,8,North,17,12,29,4,0,4,9,11,20,13,12,25,8,1,9,5,11,16,354,North
3,13,-1,True,True,False,True,1,1,2,12,-1,West,18,14,15,1,16,North,5,1,2,12,-1,West,10,13,7,0,6,West,17,13,30,4,0,4,9,12,21,13,13,26,8,1,9,5,12,17,353,North
3,14,-1,False,True,True,True,1,1,2,13,-1,West,18,13,15,1,16,South,5,1,2,13,-1,West,9,13,6,1,6,West,17,12,29,4,0,4,8,12,20,13,12,25,9,0,9,4,12,16,352,North
3,14,-1,False,True,True,True,1,1,2,13,-1,West,18,13,15,1,16,South,5,1,2,13,-1,West,8,13,5,1,5,North,17,12,29,4,0,4,7,12,19,13,12,25,10,0,10,3,12,15,351,North
3,7,-1,True,True,True,False,5,9,2,2,4,West,11,3,8,4,12,West,17,6,14,1,15,West,25,13,22,6,28,West,6,6,12,12,3,15,20,4,24,6,3,9,14,10,24,8,7,15,-29,North
3,8,-1,True,True,True,False,5,9,2,1,3,West,11,3,8,5,13,West,17,6,14,2,16,West,25,13,22,5,27,West,6,6,12,12,3,15,20,4,24,6,3,9,14,10,24,8,7,15,-30,North
3,9,-1,True,True,True,False,5,9,2,0,2,West,11,3,8,6,14,West,17,6,14,3,17,West,25,13,22,4,26,West,6,6,12,12,3,15,20,4,24,6,3,9,14,10,24,8,7,15,-31,North
11,4,-1,True,True,False,True,1,1,10,3,-1,West,3,1,8,3,-1,West,17,6,6,2,8,West,25,13,14,9,23,West,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,352,North
11,5,-1,True,True,False,True,1,1,10,4,-1,West,3,1,8,4,-1,West,17,6,6,1,7,West,25,13,14,8,22,West,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,351,North
11,6,-1,True,True,False,True,1,1,10,5,-1,West,3,1,8,5,-1,West,17,6,6,0,6,West,25,13,14,7,21,West,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,350,North
11,7,-1,True,True,False,True,1,1,10,6,-1,West,3,1,8,6,-1,West,17,6,6,1,7,West,25,13,14,6,20,West,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,349,North
11,8,-1,True,True,False,True,1,1,10,7,-1,West,3,1,8,7,-1,West,17,6,6,2,8,West,25,13,14,5,19,West,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,348,North
11,9,-1,True,True,False,True,1,1,10,8,-1,West,3,1,8,8,-1,West,17,6,6,3,9,West,25,13,14,4,18,West,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,347,North
11,10,-1,True,True,False,True,1,1,10,9,-1,West,3,1,8,9,-1,West,17,6,6,4,10,West,25,13,14,3,17,West,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,346,North
11,11,-1,True,True,False,True,1,1,10,10,-1,West,3,1,8,10,-1,West,17,6,6,5,11,West,25,13,14,2,16,West,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,345,North
11,12,-1,False,True,True,True,1,1,10,11,-1,West,3,1,8,11,-1,West,17,6,6,6,12,West,25,13,14,1,15,West,2,0,2,16,5,21,24,12,36,14,5,19,22,12,34,8,7,15,344,North
14,7,-1,True,True,False,True,1,1,13,6,-1,West,3,1,11,6,-1,West,5,1,9,6,-1,West,25,13,11,6,17,West,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,528,North
14,8,-1,True,True,True,True,1,1,13,7,-1,West,3,1,11,7,-1,West,5,1,9,7,-1,West,25,13,11,5,16,West,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,527,North
14,9,-1,True,True,False,True,1,1,13,8,-1,West,3,1,11,8,-1,West,5,1,9,8,-1,West,25,13,11,4,15,West,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,526,North
14,10,-1,True,True,True,True,1,1,13,9,-1,West,3,1,11,9,-1,West,5,1,9,9,-1,West,25,13,11,3,14,West,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,525,North
14,11,-1,True,True,True,True,1,1,13,10,-1,West,3,1,11,10,-1,West,5,1,9,10,-1,West,25,13,11,2,13,West,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,524,North
20,12,-1,True,True,False,True,1,1,19,11,-1,West,3,1,17,11,-1,West,5,1,15,11,-1,West,25,13,5,1,6,West,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,517,North
20,13,-1,True,True,False,True,1,1,19,12,-1,West,3,1,17,12,-1,West,5,1,15,12,-1,West,25,13,5,0,5,West,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,516,North
20,14,-1,True,True,False,True,1,1,19,13,-1,West,3,1,17,13,-1,West,5,1,15,13,-1,West,25,13,5,1,6,West,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,515,North
20,15,-1,True,True,True,False,1,1,19,14,-1,West,3,1,17,14,-1,West,5,1,15,14,-1,West,25,13,5,2,7,West,2,0,2,4,0,4,24,12,36,2,0,2,22,12,34,20,12,32,514,North
